****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 78x1570
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.009	Loglikelihood: -39330.4	(delta): 145146
48 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25683.4	(delta): 1.07726
49 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25679.6	(delta): 3.74943
50 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25678.2	(delta): 1.45768
51 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25677.1	(delta): 1.13563
52 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25676.9	(delta): 0.171169
53 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25676.7	(delta): 0.193668
54 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.8	(delta): 0.935572
55 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25675.7	(delta): 0.0191608
56 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25675.7	(delta): 0.0137175
57 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.6	(delta): 0.0862702
58 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.5	(delta): 0.0949363
59 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.3	(delta): 0.260843
60 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25675.3	(delta): 0.00524665
61 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.3	(delta): 0.00589948
62 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.3	(delta): 0.0022152
63 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.0158979
64 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.0429048
65 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25675.2	(delta): 0.000500863
66 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00520689
67 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00292191
68 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.0139309
69 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00688341
70 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00422204
71 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00172701
72 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.0042088
73 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.2	(delta): 0.00857662
74 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.0140292
75 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.00368677
76 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.00741539
77 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.0101582
78 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.0187872
79 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.00626819
80 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675.1	(delta): 0.0250421
81 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675	(delta): 0.0291681
82 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675	(delta): 0.0323194
83 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25675	(delta): 0.0100243
84 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.9	(delta): 0.0851977
85 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.8	(delta): 0.0738194
86 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.8	(delta): 0.037313
87 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.8	(delta): 0.0118491
88 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00390059
89 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389255
90 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389376
91 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389574
92 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.0038972
93 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389785
94 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389761
95 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389642
96 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.00389426
97 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.8	(delta): 0.0038911
98 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.7	(delta): 0.00388691
99 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.7	(delta): 0.0715461
100 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.6	(delta): 0.0469371
101 (QN/EM) 	Elapsed: 0.013	Loglikelihood: -25674.6	(delta): 0.0186203
102 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.6	(delta): 0.0243643
103 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.6	(delta): 0.0010672
104 (QN/EM) 	Elapsed: 0.012	Loglikelihood: -25674.6	(delta): 2.75939e-05
Summary: 
Converged in 104 iterations (1.398 sec)
Loglikelihood: -25674.587273
Fst divergences between estimated populations: 
	Pop0	Pop1	
Pop0	
Pop1	0.250	
Pop2	0.334	0.335	
CV error (K=3): 0.24201
Writing output files.
